date,timestamp,site_id,serial_num,duration,ac_voltage,ac_frequency,dc_voltage,dc_current,temperature,error_seconds,energy
2023-08-01,2023-08-01T17:42:18Z,4490206,202307218285,33,247.12,59.98,34.95,0.01,36,0,0
2023-08-01,2023-08-01T17:47:40Z,4490206,202307218285,322,247.25,59.9,34.56,0.01,35,0,0
2023-08-01,2023-08-01T17:48:04Z,4490206,202307218285,24,246.59,59.99,34.6,0.01,35,0,0
2023-08-01,2023-08-01T18:03:20Z,4490206,202307218285,916,245.69,60.07,30.1,0.07,34,0,0
2023-08-01,2023-08-01T18:18:35Z,4490206,202307218285,915,247.5,60.07,35.07,0.02,33,0,0
2023-08-01,2023-08-01T18:18:49Z,4490206,202307218285,14,247.19,60.03,31.04,0.06,33,0,0
2023-08-01,2023-08-01T18:34:15Z,4490206,202307218285,926,247.25,59.98,27.77,0.04,32,0,0
2023-08-01,2023-08-01T17:42:49Z,4490206,202307226911,115,246.97,59.97,34.86,0.02,35,0,0
2023-08-01,2023-08-01T17:43:02Z,4490206,202307226911,13,246.91,59.98,34.8,0.01,35,0,0
2023-08-01,2023-08-01T17:47:35Z,4490206,202307226911,273,247.03,59.91,34.46,0.02,34,0,0
2023-08-01,2023-08-01T17:47:58Z,4490206,202307226911,23,246.84,59.95,34.46,0.02,34,0,0
2023-08-01,2023-08-01T18:03:16Z,4490206,202307226911,918,245.69,60.07,31.52,0.06,33,0,0
2023-08-01,2023-08-01T18:18:30Z,4490206,202307226911,914,247.47,60.08,34.93,0.02,32,0,0
2023-08-01,2023-08-01T18:18:44Z,4490206,202307226911,14,245.88,60.03,31.86,0.06,32,0,0
2023-08-01,2023-08-01T18:34:11Z,4490206,202307226911,927,247.34,59.95,28.98,0.05,32,0,0
2023-08-01,2023-08-01T17:42:16Z,4490206,202307226995,37,247.22,59.97,35.12,0.02,36,0,0
2023-08-01,2023-08-01T17:47:38Z,4490206,202307226995,322,247.06,59.91,34.57,0.02,35,0,0
2023-08-01,2023-08-01T17:48:02Z,4490206,202307226995,24,247,59.97,34.6,0.02,35,0,0
2023-08-01,2023-08-01T18:03:19Z,4490206,202307226995,917,245.62,60.07,30.06,0.07,34,0,0
2023-08-01,2023-08-01T18:18:33Z,4490206,202307226995,914,247.53,60.08,35.02,0.02,33,0,0
2023-08-01,2023-08-01T18:18:46Z,4490206,202307226995,13,247.22,60.03,31.55,0.08,33,0,0
2023-08-01,2023-08-01T18:34:13Z,4490206,202307226995,927,247.44,59.97,29.54,0.04,33,0,0
2023-08-01,2023-08-01T18:49:47Z,4490206,202307226995,934,246.34,59.97,20.89,0.02,32,0,0
2023-08-01,2023-08-01T17:42:53Z,4490206,202307226999,112,247.09,59.97,34.9,0.02,34,0,0
2023-08-01,2023-08-01T17:43:05Z,4490206,202307226999,12,246.94,59.97,34.82,0.03,34,0,0
2023-08-01,2023-08-01T17:47:37Z,4490206,202307226999,272,247.25,59.91,34.28,0.03,34,0,0
2023-08-01,2023-08-01T17:48:00Z,4490206,202307226999,23,246.78,59.96,34.31,0.01,34,0,0
2023-08-01,2023-08-01T18:03:18Z,4490206,202307226999,918,245.16,60.08,28.62,0.07,33,0,0
2023-08-01,2023-08-01T18:18:32Z,4490206,202307226999,914,247.56,60.07,34.97,0.01,32,0,0
2023-08-01,2023-08-01T18:18:46Z,4490206,202307226999,14,247.19,60.03,30.43,0.06,32,0,0
2023-08-01,2023-08-01T18:34:12Z,4490206,202307226999,926,247.38,59.96,33.39,0.01,32,0,0
2023-08-01,2023-08-01T17:42:48Z,4490206,202307227203,117,247.19,59.97,35,0.02,36,0,0
2023-08-01,2023-08-01T17:43:01Z,4490206,202307227203,13,246.91,59.98,34.93,0.02,35,0,0
2023-08-01,2023-08-01T17:47:34Z,4490206,202307227203,273,247.16,59.91,34.59,0.02,35,0,0
